estimand_type	estimand	design_id	design	functional	local_state	method	quantity	point_estimate	ci_low	ci_high	estimate_ci	boot_se	n_boot_nonmissing	ci_type
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	Matrix	C_Delta_h_matrix	-0.024513	-0.433947	0.384921	-0.0245 [-0.4339, 0.3849]	0.208895	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	Tensor	C_Delta_h	-0.021132	-0.446832	0.404568	-0.0211 [-0.4468, 0.4046]	0.217194	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	Matrix	C_Delta_h_matrix	0.026483	-1.003834	1.0568	0.0265 [-1.0038, 1.0568]	0.525672	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	Tensor	C_Delta_h	-0.33443	-0.756438	0.087578	-0.3344 [-0.7564, 0.0876]	0.21531	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	Matrix	C_Delta_h_matrix	0.157152	-1.0019149999999999	1.316219	0.1572 [-1.0019, 1.3162]	0.591361	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	Tensor	C_Delta_h	0.002175	-0.40883	0.41318	0.0022 [-0.4088, 0.4132]	0.209697	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	Matrix	C_Delta_h_matrix	0.153391	-0.74084	1.047622	0.1534 [-0.7408, 1.0476]	0.45624	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	Tensor	C_Delta_h	-0.076868	-0.166932	0.013196	-0.0769 [-0.1669, 0.0132]	0.045951	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	Matrix	C_Delta_h_matrix	0.004602	-0.202167	0.211371	0.0046 [-0.2022, 0.2114]	0.105494	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	Tensor	C_Delta_h	-0.010093	-0.033372	0.013186	-0.0101 [-0.0334, 0.0132]	0.011877	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	Matrix	C_Delta_h_matrix	-0.00421	-0.028848	0.020428	-0.0042 [-0.0288, 0.0204]	0.012571	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	Tensor	C_Delta_h	-0.103309	-0.230183	0.023565	-0.1033 [-0.2302, 0.0236]	0.064732	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	Matrix	C_Delta_h_matrix	-0.062436	-0.179263	0.054391	-0.0624 [-0.1793, 0.0544]	0.059605	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	Tensor	C_Delta_h	-0.016388	-0.37924	0.346464	-0.0164 [-0.3792, 0.3465]	0.185128	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	Matrix	C_Delta_h_matrix	7.62e-4	-0.373377	0.374901	0.0008 [-0.3734, 0.3749]	0.190887	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	Tensor	C_Delta_h	-0.413869	-0.850876	0.023138	-0.4139 [-0.8509, 0.0231]	0.222963	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	Matrix	C_Delta_h_matrix	0.036973	-0.395132	0.469078	0.0370 [-0.3951, 0.4691]	0.220462	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	Tensor	C_Delta_h	0.018891	-0.436568	0.47435	0.0189 [-0.4366, 0.4744]	0.232377	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	Matrix	C_Delta_h_matrix	0.096542	-0.339082	0.532166	0.0965 [-0.3391, 0.5322]	0.222257	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	Tensor	C_Delta_h	-0.07741	-0.170586	0.015766	-0.0774 [-0.1706, 0.0158]	0.047539	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	Matrix	C_Delta_h_matrix	0.001564	-0.079895	0.083023	0.0016 [-0.0799, 0.0830]	0.041561	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	Tensor	C_Delta_h	-0.004441	-0.023033	0.014151	-0.0044 [-0.0230, 0.0142]	0.009486	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	Matrix	C_Delta_h_matrix	-0.001169	-0.021133	0.018795	-0.0012 [-0.0211, 0.0188]	0.010186	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	ATE	NA	Tensor	C_Delta_h	-0.070244	-0.18285	0.042362	-0.0702 [-0.1828, 0.0424]	0.057452	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	ATE	NA	Matrix	C_Delta_h_matrix	-0.015878	-0.089838	0.058082	-0.0159 [-0.0898, 0.0581]	0.037735	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Florida	NA	Tensor	C_Delta_h	0.071175	-0.349697	0.492047	0.0712 [-0.3497, 0.4920]	0.214731	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Florida	NA	Matrix	C_Delta_h_matrix	0.060331	-0.261665	0.382327	0.0603 [-0.2617, 0.3823]	0.164284	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Montana	NA	Tensor	C_Delta_h	-0.068357	-0.421717	0.285003	-0.0684 [-0.4217, 0.2850]	0.180286	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Montana	NA	Matrix	C_Delta_h_matrix	0.305026	0.022692	0.58736	0.3050 [0.0227, 0.5874]	0.144048	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Texas	NA	Tensor	C_Delta_h	0.011421	-0.402475	0.425317	0.0114 [-0.4025, 0.4253]	0.211171	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Texas	NA	Matrix	C_Delta_h_matrix	0.062163	-0.168161	0.292487	0.0622 [-0.1682, 0.2925]	0.117512	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	RowHet	NA	Tensor	C_Delta_h	-0.069222	-0.177877	0.039433	-0.0692 [-0.1779, 0.0394]	0.055436	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	RowHet	NA	Matrix	C_Delta_h_matrix	-0.017631	-0.089773	0.054511	-0.0176 [-0.0898, 0.0545]	0.036807	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Trend	NA	Tensor	C_Delta_h	-0.159934	-0.231096	-0.088772	-0.1599 [-0.2311, -0.0888]	0.036307	500	bootstrap_se_centered
Delta	Contrast: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Trend	NA	Matrix	C_Delta_h_matrix	-0.098893	-0.191563	-0.006223	-0.0989 [-0.1916, -0.0062]	0.047281	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	Tensor	Psi0	4.606851	4.237491	4.976211	4.6069 [4.2375, 4.9762]	0.188449	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	Matrix	Psi0_matrix	4.44526	3.266816	5.623704	4.4453 [3.2668, 5.6237]	0.601247	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	Tensor	Psi0	5.205787	3.360871	7.050703	5.2058 [3.3609, 7.0507]	0.941284	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	Matrix	Psi0_matrix	5.337823	3.082807	7.592839	5.3378 [3.0828, 7.5928]	1.150518	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	Tensor	Psi0	4.221254	2.304763	6.137745	4.2213 [2.3048, 6.1377]	0.977802	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	Matrix	Psi0_matrix	3.376447	0.664401	6.088493	3.3764 [0.6644, 6.0885]	1.383697	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	Tensor	Psi0	5.024137	3.179817	6.868457	5.0241 [3.1798, 6.8685]	0.94098	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	Matrix	Psi0_matrix	5.090842	2.505802	7.675882	5.0908 [2.5058, 7.6759]	1.318898	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	Tensor	Psi0	1.131079	0.850959	1.411199	1.1311 [0.8510, 1.4112]	0.142918	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	Matrix	Psi0_matrix	0.997234	0.553235	1.441233	0.9972 [0.5532, 1.4412]	0.22653	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	Tensor	Psi0	-0.006099	-0.028763	0.016565	-0.0061 [-0.0288, 0.0166]	0.011563	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	Matrix	Psi0_matrix	-0.014598	-0.027298	-0.001898	-0.0146 [-0.0273, -0.0019]	0.00648	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	Tensor	Psi0	4.588724	4.340004	4.837444	4.5887 [4.3400, 4.8374]	0.126898	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	Matrix	Psi0_matrix	4.483393	4.074006	4.89278	4.4834 [4.0740, 4.8928]	0.208871	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	Tensor	Psi0	5.205991	3.703026	6.708956	5.2060 [3.7030, 6.7090]	0.766819	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	Matrix	Psi0_matrix	5.297664	3.595896	6.999432	5.2977 [3.5959, 6.9994]	0.868249	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	Tensor	Psi0	3.581378	1.989665	5.173091	3.5814 [1.9897, 5.1731]	0.812098	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	Matrix	Psi0_matrix	3.371032	1.636145	5.105919	3.3710 [1.6361, 5.1059]	0.885146	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	Tensor	Psi0	5.139798	3.735857	6.543739	5.1398 [3.7359, 6.5437]	0.716296	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	Matrix	Psi0_matrix	5.089094	3.548407	6.629781	5.0891 [3.5484, 6.6298]	0.786065	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	Tensor	Psi0	1.568561	1.327653	1.809469	1.5686 [1.3277, 1.8095]	0.122912	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	Matrix	Psi0_matrix	1.467703	1.179603	1.755803	1.4677 [1.1796, 1.7558]	0.14699	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	Tensor	Psi0	-0.011119	-0.030493	0.008255	-0.0111 [-0.0305, 0.0083]	0.009885	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	Matrix	Psi0_matrix	-0.013878	-0.031805	0.004049	-0.0139 [-0.0318, 0.0040]	0.009147	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	Tensor	Psi0	4.540283	4.286097	4.794469	4.5403 [4.2861, 4.7945]	0.129687	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	Matrix	Psi0_matrix	4.441433	4.166488	4.716378	4.4414 [4.1665, 4.7164]	0.140278	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	Tensor	Psi0	5.178064	3.723581	6.632547	5.1781 [3.7236, 6.6325]	0.742083	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	Matrix	Psi0_matrix	5.302648	3.783903	6.821393	5.3026 [3.7839, 6.8214]	0.77487	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	Tensor	Psi0	3.633165	2.067888	5.198442	3.6332 [2.0679, 5.1984]	0.798611	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	Matrix	Psi0_matrix	3.3045	1.714933	4.894067	3.3045 [1.7149, 4.8941]	0.811003	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	Tensor	Psi0	5.100694	3.505001	6.696387	5.1007 [3.5050, 6.6964]	0.814129	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	Matrix	Psi0_matrix	5.093311	3.404654	6.781968	5.0933 [3.4047, 6.7820]	0.86156	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	Tensor	Psi0	1.911866	1.639585	2.184147	1.9119 [1.6396, 2.1841]	0.138919	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	Matrix	Psi0_matrix	1.817643	1.532171	2.103115	1.8176 [1.5322, 2.1031]	0.145649	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	Tensor	Psi0	-0.01386	-0.026458	-0.001262	-0.0139 [-0.0265, -0.0013]	0.006428	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	Matrix	Psi0_matrix	-0.016069	-0.031356	-7.82e-4	-0.0161 [-0.0314, -0.0008]	0.007799	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	nonmasked_original	Non-masked	ATE	NA	Tensor	Psi0	4.5649	4.210764	4.919036	4.5649 [4.2108, 4.9190]	0.180681	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	nonmasked_original	Non-masked	ATE	NA	Matrix	Psi0_matrix	4.507028	4.145052	4.869004	4.5070 [4.1451, 4.8690]	0.184682	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	nonmasked_original	Non-masked	Local-Florida	NA	Tensor	Psi0	5.124635	3.573872	6.675398	5.1246 [3.5739, 6.6754]	0.791206	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	nonmasked_original	Non-masked	Local-Florida	NA	Matrix	Psi0_matrix	5.196105	3.597782	6.794428	5.1961 [3.5978, 6.7944]	0.815471	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	nonmasked_original	Non-masked	Local-Montana	NA	Tensor	Psi0	3.16656	1.638572	4.694548	3.1666 [1.6386, 4.6945]	0.779586	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	nonmasked_original	Non-masked	Local-Montana	NA	Matrix	Psi0_matrix	2.960383	1.457761	4.463005	2.9604 [1.4578, 4.4630]	0.766644	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	nonmasked_original	Non-masked	Local-Texas	NA	Tensor	Psi0	5.053302	3.470391	6.636213	5.0533 [3.4704, 6.6362]	0.807607	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	nonmasked_original	Non-masked	Local-Texas	NA	Matrix	Psi0_matrix	4.99803	3.424572	6.571488	4.9980 [3.4246, 6.5715]	0.802785	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	nonmasked_original	Non-masked	RowHet	NA	Tensor	Psi0	4.04652	3.683594	4.409446	4.0465 [3.6836, 4.4094]	0.185166	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	nonmasked_original	Non-masked	RowHet	NA	Matrix	Psi0_matrix	3.994705	3.623657	4.365753	3.9947 [3.6237, 4.3658]	0.18931	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	nonmasked_original	Non-masked	Trend	NA	Tensor	Psi0	-0.061933	-0.078815	-0.045051	-0.0619 [-0.0788, -0.0451]	0.0086130000000000009	500	bootstrap_se_centered
Psi0	Psi0: Robbery rate, log	nonmasked_original	Non-masked	Trend	NA	Matrix	Psi0_matrix	-0.088118	-0.136066	-0.04017	-0.0881 [-0.1361, -0.0402]	0.024463	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	Tensor	Psi0	5.525212	5.22418	5.826244	5.5252 [5.2242, 5.8262]	0.153588	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	Matrix	Psi0_matrix	5.449654	4.097147	6.802161	5.4497 [4.0971, 6.8022]	0.690055	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	Tensor	Psi0	6.136772	5.032941	7.240603	6.1368 [5.0329, 7.2406]	0.563179	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	Matrix	Psi0_matrix	6.293312	3.411526	9.175098	6.2933 [3.4115, 9.1751]	1.470299	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	Tensor	Psi0	6.006514	4.648621	7.364407	6.0065 [4.6486, 7.3644]	0.692802	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	Matrix	Psi0_matrix	5.876643	2.453014	9.300272	5.8766 [2.4530, 9.3003]	1.74675	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	Tensor	Psi0	5.818303	4.606287	7.030319	5.8183 [4.6063, 7.0303]	0.618376	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	Matrix	Psi0_matrix	5.955165	3.100479	8.809851	5.9552 [3.1005, 8.8099]	1.456473	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	Tensor	Psi0	1.478382	1.284776	1.671988	1.4784 [1.2848, 1.6720]	0.098778	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	Matrix	Psi0_matrix	1.418963	0.872514	1.965412	1.4190 [0.8725, 1.9654]	0.278801	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	Tensor	Psi0	-0.005502	-0.026347	0.015343	-0.0055 [-0.0263, 0.0153]	0.010635	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	Matrix	Psi0_matrix	-0.018751	-0.042559	0.005057	-0.0188 [-0.0426, 0.0051]	0.012147	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	Tensor	Psi0	5.512131	5.317692	5.70657	5.5121 [5.3177, 5.7066]	0.099203	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	Matrix	Psi0_matrix	5.470889	5.137392	5.804386	5.4709 [5.1374, 5.8044]	0.170151	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	Tensor	Psi0	6.13404	5.101648	7.166432	6.1340 [5.1016, 7.1664]	0.526731	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	Matrix	Psi0_matrix	6.273329	4.84978	7.696878	6.2733 [4.8498, 7.6969]	0.726301	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	Tensor	Psi0	5.668103	4.58841	6.747796	5.6681 [4.5884, 6.7478]	0.550864	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	Matrix	Psi0_matrix	5.94934	4.43814	7.46054	5.9493 [4.4381, 7.4605]	0.77102	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	Tensor	Psi0	5.85386	4.861996	6.845724	5.8539 [4.8620, 6.8457]	0.506053	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	Matrix	Psi0_matrix	5.954373	4.643352	7.265394	5.9544 [4.6434, 7.2654]	0.668888	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	Tensor	Psi0	1.988955	1.80728	2.17063	1.9890 [1.8073, 2.1706]	0.092691	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	Matrix	Psi0_matrix	1.969568	1.731065	2.208071	1.9696 [1.7311, 2.2081]	0.121685	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	Tensor	Psi0	-0.015349	-0.028142	-0.002556	-0.0153 [-0.0281, -0.0026]	0.006527	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	Matrix	Psi0_matrix	-0.012226	-0.02727	0.002818	-0.0122 [-0.0273, 0.0028]	0.007676	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	Tensor	Psi0	5.484973	5.276188	5.693758	5.4850 [5.2762, 5.6938]	0.106523	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	Matrix	Psi0_matrix	5.426996	5.215086	5.638906	5.4270 [5.2151, 5.6389]	0.108118	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	Tensor	Psi0	6.110858	5.12231	7.099406	6.1109 [5.1223, 7.0994]	0.504361	500	bootstrap_se_centered
