estimand_type	estimand	design_id	design	functional	local_state	method	quantity	point_estimate	ci_low	ci_high	estimate_ci	boot_se	n_boot_nonmissing	ci_type
Psi0	Psi0: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	Matrix	Psi0_matrix	6.252591	5.147274	7.357908	6.2526 [5.1473, 7.3579]	0.563937	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	Tensor	Psi0	5.640451	4.509586	6.771316	5.6405 [4.5096, 6.7713]	0.576972	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	Matrix	Psi0_matrix	5.762629	4.53734	6.987918	5.7626 [4.5373, 6.9879]	0.625148	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	Tensor	Psi0	5.831473	4.689979	6.972967	5.8315 [4.6900, 6.9730]	0.582395	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	Matrix	Psi0_matrix	5.90174	4.65057	7.15291	5.9017 [4.6506, 7.1529]	0.638352	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	Tensor	Psi0	2.416797	2.211486	2.622108	2.4168 [2.2115, 2.6221]	0.104751	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	Matrix	Psi0_matrix	2.401548	2.192005	2.611091	2.4015 [2.1920, 2.6111]	0.10691	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	Tensor	Psi0	-0.013692	-0.026699	-6.85e-4	-0.0137 [-0.0267, -0.0007]	0.006636	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	Matrix	Psi0_matrix	-0.01263	-0.023411	-0.001849	-0.0126 [-0.0234, -0.0018]	0.0055	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	nonmasked_original	Non-masked	ATE	NA	Tensor	Psi0	5.601655	5.348066	5.855244	5.6017 [5.3481, 5.8552]	0.129382	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	nonmasked_original	Non-masked	ATE	NA	Matrix	Psi0_matrix	5.598149	5.352138	5.84416	5.5981 [5.3521, 5.8442]	0.125516	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Florida	NA	Tensor	Psi0	6.119929	5.06262	7.177238	6.1199 [5.0626, 7.1772]	0.539444	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Florida	NA	Matrix	Psi0_matrix	6.180554	5.046024	7.315084	6.1806 [5.0460, 7.3151]	0.578842	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Montana	NA	Tensor	Psi0	5.544777	4.554939	6.534615	5.5448 [4.5549, 6.5346]	0.50502	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Montana	NA	Matrix	Psi0_matrix	5.711983	4.827016	6.59695	5.7120 [4.8270, 6.5969]	0.451514	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Texas	NA	Tensor	Psi0	5.761847	4.684908	6.838786	5.7618 [4.6849, 6.8388]	0.549459	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Texas	NA	Matrix	Psi0_matrix	5.757316	4.730411	6.784221	5.7573 [4.7304, 6.7842]	0.523931	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	nonmasked_original	Non-masked	RowHet	NA	Tensor	Psi0	4.983278	4.72521	5.241346	4.9833 [4.7252, 5.2413]	0.131668	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	nonmasked_original	Non-masked	RowHet	NA	Matrix	Psi0_matrix	4.983054	4.73046	5.235648	4.9831 [4.7305, 5.2356]	0.128875	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	nonmasked_original	Non-masked	Trend	NA	Tensor	Psi0	-0.069567	-0.081817	-0.057317	-0.0696 [-0.0818, -0.0573]	0.00625	500	bootstrap_se_centered
Psi0	Psi0: Aggravated assault rate, log	nonmasked_original	Non-masked	Trend	NA	Matrix	Psi0_matrix	-0.034711	-0.063473	-0.005949	-0.0347 [-0.0635, -0.0059]	0.014675	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	Tensor	C_Psi0	-0.918361	-1.283288	-0.553434	-0.9184 [-1.2833, -0.5534]	0.186187	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	Matrix	C_Psi0_matrix	-1.004394	-2.461859	0.453071	-1.0044 [-2.4619, 0.4531]	0.743605	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	Tensor	C_Psi0	-0.930985	-2.44923	0.58726	-0.9310 [-2.4492, 0.5873]	0.774615	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	Matrix	C_Psi0_matrix	-0.955489	-4.061041	2.150063	-0.9555 [-4.0610, 2.1501]	1.584465	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	Tensor	C_Psi0	-1.78526	-3.367417	-0.203103	-1.7853 [-3.3674, -0.2031]	0.807223	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	Matrix	C_Psi0_matrix	-2.500196	-6.16555	1.165158	-2.5002 [-6.1656, 1.1652]	1.870079	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	Tensor	C_Psi0	-0.794166	-2.224127	0.635795	-0.7942 [-2.2241, 0.6358]	0.729572	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	Matrix	C_Psi0_matrix	-0.864323	-4.381335	2.652689	-0.8643 [-4.3813, 2.6527]	1.794394	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	Tensor	C_Psi0	-0.347303	-0.575231	-0.119375	-0.3473 [-0.5752, -0.1194]	0.11629	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	Matrix	C_Psi0_matrix	-0.421729	-1.030526	0.187068	-0.4217 [-1.0305, 0.1871]	0.310611	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	Tensor	C_Psi0	-5.97e-4	-0.028498	0.027304	-0.0006 [-0.0285, 0.0273]	0.014235	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	Matrix	C_Psi0_matrix	0.004153	-0.026664	0.03497	0.0042 [-0.0267, 0.0350]	0.015723	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	Tensor	C_Psi0	-0.923407	-1.129083	-0.717731	-0.9234 [-1.1291, -0.7177]	0.104937	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	Matrix	C_Psi0_matrix	-0.987496	-1.438829	-0.536163	-0.9875 [-1.4388, -0.5362]	0.230272	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	Tensor	C_Psi0	-0.928049	-2.014012	0.157914	-0.9280 [-2.0140, 0.1579]	0.554063	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	Matrix	C_Psi0_matrix	-0.975665	-2.412139	0.460809	-0.9757 [-2.4121, 0.4608]	0.732895	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	Tensor	C_Psi0	-2.086725	-3.253061	-0.920389	-2.0867 [-3.2531, -0.9204]	0.595069	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	Matrix	C_Psi0_matrix	-2.578308	-4.22467	-0.931946	-2.5783 [-4.2247, -0.9319]	0.839981	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	Tensor	C_Psi0	-0.714062	-1.766298	0.338174	-0.7141 [-1.7663, 0.3382]	0.536855	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	Matrix	C_Psi0_matrix	-0.865279	-2.238273	0.507715	-0.8653 [-2.2383, 0.5077]	0.700507	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	Tensor	C_Psi0	-0.420394	-0.597953	-0.242835	-0.4204 [-0.5980, -0.2428]	0.090591	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	Matrix	C_Psi0_matrix	-0.501865	-0.772498	-0.231232	-0.5019 [-0.7725, -0.2312]	0.138078	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	Tensor	C_Psi0	0.00423	-0.0177	0.02616	0.0042 [-0.0177, 0.0262]	0.011189	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	Matrix	C_Psi0_matrix	-0.001652	-0.023833	0.020529	-0.0017 [-0.0238, 0.0205]	0.011317	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	Tensor	C_Psi0	-0.94469	-1.15334	-0.73604	-0.9447 [-1.1533, -0.7360]	0.106454	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	Matrix	C_Psi0_matrix	-0.985563	-1.21332	-0.757806	-0.9856 [-1.2133, -0.7578]	0.116203	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	Tensor	C_Psi0	-0.932794	-2.034272	0.168684	-0.9328 [-2.0343, 0.1687]	0.561979	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	Matrix	C_Psi0_matrix	-0.949943	-2.151966	0.25208	-0.9499 [-2.1520, 0.2521]	0.613277	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	Tensor	C_Psi0	-2.007286	-3.106633	-0.907939	-2.0073 [-3.1066, -0.9079]	0.560891	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	Matrix	C_Psi0_matrix	-2.458129	-3.646416	-1.269842	-2.4581 [-3.6464, -1.2698]	0.606269	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	Tensor	C_Psi0	-0.730779	-1.807165	0.345607	-0.7308 [-1.8072, 0.3456]	0.549176	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	Matrix	C_Psi0_matrix	-0.808429	-2.007266	0.390408	-0.8084 [-2.0073, 0.3904]	0.611652	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	Tensor	C_Psi0	-0.504931	-0.690005	-0.319857	-0.5049 [-0.6900, -0.3199]	0.094426	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	Matrix	C_Psi0_matrix	-0.583905	-0.784518	-0.383292	-0.5839 [-0.7845, -0.3833]	0.102353	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	Tensor	C_Psi0	-1.68e-4	-0.015969	0.015633	-0.0002 [-0.0160, 0.0156]	0.008061	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	Matrix	C_Psi0_matrix	-0.0034390000000000002	-0.020173	0.013295	-0.0034 [-0.0202, 0.0133]	0.008538	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	ATE	NA	Tensor	C_Psi0	-1.036755	-1.27024	-0.80327	-1.0368 [-1.2702, -0.8033]	0.119125	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	ATE	NA	Matrix	C_Psi0_matrix	-1.091121	-1.359291	-0.822951	-1.0911 [-1.3593, -0.8230]	0.136821	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Florida	NA	Tensor	C_Psi0	-0.995294	-2.046547	0.055959	-0.9953 [-2.0465, 0.0560]	0.536354	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Florida	NA	Matrix	C_Psi0_matrix	-0.984449	-2.179724	0.210826	-0.9844 [-2.1797, 0.2108]	0.609834	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Montana	NA	Tensor	C_Psi0	-2.378217	-3.523228	-1.233206	-2.3782 [-3.5232, -1.2332]	0.584189	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Montana	NA	Matrix	C_Psi0_matrix	-2.7516	-4.12903	-1.37417	-2.7516 [-4.1290, -1.3742]	0.70277	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Texas	NA	Tensor	C_Psi0	-0.708545	-1.820575	0.403485	-0.7085 [-1.8206, 0.4035]	0.567362	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Local-Texas	NA	Matrix	C_Psi0_matrix	-0.759286	-2.112513	0.593941	-0.7593 [-2.1125, 0.5939]	0.690422	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	RowHet	NA	Tensor	C_Psi0	-0.936758	-1.169199	-0.704317	-0.9368 [-1.1692, -0.7043]	0.118592	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	RowHet	NA	Matrix	C_Psi0_matrix	-0.988349	-1.257646	-0.719052	-0.9883 [-1.2576, -0.7191]	0.137396	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Trend	NA	Tensor	C_Psi0	0.007634	-0.010728	0.025996	0.0076 [-0.0107, 0.0260]	0.009368	500	bootstrap_se_centered
Psi0	Contrast Psi0: Robbery rate, log - Aggravated assault rate, log	nonmasked_original	Non-masked	Trend	NA	Matrix	C_Psi0_matrix	-0.053407	-0.107463	0.00064899999999999995	-0.0534 [-0.1075, 0.0006]	0.02758	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	Tensor	Psi1	4.387113	4.165412	4.608814	4.3871 [4.1654, 4.6088]	0.113113	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	ATE	NA	Matrix	Psi1_matrix	4.387113	4.165412	4.608814	4.3871 [4.1654, 4.6088]	0.113113	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	Tensor	Psi1	5.192436	3.61727	6.767602	5.1924 [3.6173, 6.7676]	0.803656	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Florida	NA	Matrix	Psi1_matrix	5.192436	3.61727	6.767602	5.1924 [3.6173, 6.7676]	0.803656	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	Tensor	Psi1	3.140446	1.514657	4.766235	3.1404 [1.5147, 4.7662]	0.829484	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Montana	NA	Matrix	Psi1_matrix	3.140446	1.514657	4.766235	3.1404 [1.5147, 4.7662]	0.829484	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	Tensor	Psi1	5.065329	3.477621	6.653037	5.0653 [3.4776, 6.6530]	0.810055	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Local-Texas	NA	Matrix	Psi1_matrix	5.065329	3.477621	6.653037	5.0653 [3.4776, 6.6530]	0.810055	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	Tensor	Psi1	1.004392	0.774075	1.234709	1.0044 [0.7741, 1.2347]	0.117508	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	RowHet	NA	Matrix	Psi1_matrix	1.004392	0.774075	1.234709	1.0044 [0.7741, 1.2347]	0.117508	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	Tensor	Psi1	-0.009946	-0.017675	-0.002217	-0.0099 [-0.0177, -0.0022]	0.003944	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full5_obs3	Masked: 5 full rows	Trend	NA	Matrix	Psi1_matrix	-0.009946	-0.017675	-0.002217	-0.0099 [-0.0177, -0.0022]	0.003944	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	Tensor	Psi1	4.449247	4.205797	4.692697	4.4492 [4.2058, 4.6927]	0.124209	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	ATE	NA	Matrix	Psi1_matrix	4.449247	4.205797	4.692697	4.4492 [4.2058, 4.6927]	0.124209	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	Tensor	Psi1	5.192436	3.646849	6.738023	5.1924 [3.6468, 6.7380]	0.788565	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Florida	NA	Matrix	Psi1_matrix	5.192436	3.646849	6.738023	5.1924 [3.6468, 6.7380]	0.788565	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	Tensor	Psi1	3.140446	1.547127	4.733765	3.1404 [1.5471, 4.7338]	0.812918	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Montana	NA	Matrix	Psi1_matrix	3.140446	1.547127	4.733765	3.1404 [1.5471, 4.7338]	0.812918	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	Tensor	Psi1	5.065329	3.603105	6.527553	5.0653 [3.6031, 6.5276]	0.746033	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Local-Texas	NA	Matrix	Psi1_matrix	5.065329	3.603105	6.527553	5.0653 [3.6031, 6.5276]	0.746033	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	Tensor	Psi1	1.474008	1.22868	1.719336	1.4740 [1.2287, 1.7193]	0.125167	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	RowHet	NA	Matrix	Psi1_matrix	1.474008	1.22868	1.719336	1.4740 [1.2287, 1.7193]	0.125167	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	Tensor	Psi1	-0.010266	-0.018361	-0.002171	-0.0103 [-0.0184, -0.0022]	0.00413	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full10_obs3	Masked: 10 full rows	Trend	NA	Matrix	Psi1_matrix	-0.010266	-0.018361	-0.002171	-0.0103 [-0.0184, -0.0022]	0.00413	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	Tensor	Psi1	4.391325	4.135486	4.647164	4.3913 [4.1355, 4.6472]	0.13053	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	ATE	NA	Matrix	Psi1_matrix	4.391325	4.135486	4.647164	4.3913 [4.1355, 4.6472]	0.13053	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	Tensor	Psi1	5.192436	3.705685	6.679187	5.1924 [3.7057, 6.6792]	0.758546	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Florida	NA	Matrix	Psi1_matrix	5.192436	3.705685	6.679187	5.1924 [3.7057, 6.6792]	0.758546	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	Tensor	Psi1	3.140446	1.591775	4.689117	3.1404 [1.5918, 4.6891]	0.790138	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Montana	NA	Matrix	Psi1_matrix	3.140446	1.591775	4.689117	3.1404 [1.5918, 4.6891]	0.790138	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	Tensor	Psi1	5.065329	3.426862	6.703796	5.0653 [3.4269, 6.7038]	0.835952	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Local-Texas	NA	Matrix	Psi1_matrix	5.065329	3.426862	6.703796	5.0653 [3.4269, 6.7038]	0.835952	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	Tensor	Psi1	1.827396	1.552508	2.102284	1.8274 [1.5525, 2.1023]	0.140249	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	RowHet	NA	Matrix	Psi1_matrix	1.827396	1.552508	2.102284	1.8274 [1.5525, 2.1023]	0.140249	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	Tensor	Psi1	-0.008818	-0.017852	2.16e-4	-0.0088 [-0.0179, 0.0002]	0.004609	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	masked_full15_obs3	Masked: 15 full rows	Trend	NA	Matrix	Psi1_matrix	-0.008818	-0.017852	2.16e-4	-0.0088 [-0.0179, 0.0002]	0.004609	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	nonmasked_original	Non-masked	ATE	NA	Tensor	Psi1	4.540763	4.202516	4.87901	4.5408 [4.2025, 4.8790]	0.172575	500	bootstrap_se_centered
Psi1	Psi1: Robbery rate, log	nonmasked_original	Non-masked	ATE	NA	Matrix	Psi1_matrix	4.540763	4.202516	4.87901	4.5408 [4.2025, 4.8790]	0.172575	500	bootstrap_se_centered
